date,index,nav,outstanding
"Aug 02, 2017",4789.54,249.16,492050000.00
"Aug 01, 2017",4786.27,248.99,491250000.00
"Jul 31, 2017",4774.56,248.39,490800000.00
"Jul 28, 2017",4778.02,248.57,490000000.00
"Jul 27, 2017",4784.26,248.89,489100000.00
"Jul 26, 2017",4788.41,249.11,489850000.00
"Jul 25, 2017",4787.04,249.04,488600000.00
"Jul 24, 2017",4773.10,248.31,487700000.00
"Jul 21, 2017",4778.07,248.57,488150000.00
"Jul 20, 2017",4779.84,248.66,488200000.00
"Jul 19, 2017",4780.25,248.68,488250000.00
"Jul 18, 2017",4754.27,247.33,480550000.00
"Jul 17, 2017",4751.33,247.18,480450000.00
"Jul 14, 2017",4751.43,247.18,479050000.00
"Jul 13, 2017",4729.25,246.03,479000000.00
"Jul 12, 2017",4720.28,245.57,477600000.00
"Jul 11, 2017",4685.64,243.76,477700000.00
"Jul 10, 2017",4689.25,243.95,477800000.00
"Jul 07, 2017",4684.88,243.72,477550000.00
"Jul 06, 2017",4655.02,242.17,476850000.00
"Jul 05, 2017",4697.34,244.37,476450000.00
"Jul 03, 2017",4689.61,243.97,475750000.00
"Jun 30, 2017",4678.36,243.39,474400000.00
"Jun 29, 2017",4670.96,243.00,474150000.00
"Jun 28, 2017",4711.33,245.10,473950000.00
"Jun 27, 2017",4669.27,242.92,473000000.00
"Jun 26, 2017",4707.27,246.02,473000000.00
"Jun 23, 2017",4705.73,245.94,473100000.00
"Jun 22, 2017",4698.40,245.56,472800000.00
"Jun 21, 2017",4700.50,245.67,472800000.00
"Jun 20, 2017",4702.82,245.79,482700000.00
"Jun 19, 2017",4734.48,247.44,484400000.00
"Jun 16, 2017",4695.23,245.39,483800000.00
"Jun 15, 2017",4693.86,245.32,483100000.00
"Jun 14, 2017",4703.53,245.83,482200000.00
"Jun 13, 2017",4707.88,246.06,475650000.00
"Jun 12, 2017",4685.54,244.89,474900000.00
"Jun 09, 2017",4689.79,245.11,472850000.00
"Jun 08, 2017",4693.67,245.31,472850000.00
"Jun 07, 2017",4692.29,245.24,463900000.00
"Jun 06, 2017",4683.96,244.81,463900000.00
"Jun 05, 2017",4697.00,245.49,463300000.00
"Jun 02, 2017",4702.56,245.78,463300000.00
"Jun 01, 2017",4685.11,244.87,463100000.00
"May 31, 2017",4649.34,243.00,463100000.00
"May 30, 2017",4650.76,243.07,462850000.00
"May 26, 2017",4655.65,243.33,462250000.00
"May 25, 2017",4653.59,243.22,461650000.00
"May 24, 2017",4632.37,242.11,461650000.00
"May 23, 2017",4620.70,241.51,461750000.00
"May 22, 2017",4612.12,241.06,462350000.00
"May 19, 2017",4588.35,239.82,460800000.00
"May 18, 2017",4557.41,238.20,460000000.00
"May 17, 2017",4540.58,237.32,460400000.00
"May 16, 2017",4623.26,241.64,459200000.00
"May 15, 2017",4625.51,241.76,459200000.00
"May 12, 2017",4602.96,240.58,459200000.00
"May 11, 2017",4609.69,240.93,458950000.00
"May 10, 2017",4618.19,241.38,458950000.00
"May 09, 2017",4611.21,241.02,458550000.00
"May 08, 2017",4615.73,241.25,458550000.00
"May 05, 2017",4615.09,241.22,458500000.00
"May 04, 2017",4596.24,240.23,457650000.00
"May 03, 2017",4593.32,240.08,458050000.00
"May 02, 2017",4598.24,240.34,453100000.00
"May 01, 2017",4592.78,240.06,455450000.00
"Apr 28, 2017",4584.82,239.64,455700000.00
"Apr 27, 2017",4593.57,240.10,455850000.00
"Apr 26, 2017",4590.56,239.94,454550000.00
"Apr 25, 2017",4592.74,240.05,443400000.00
"Apr 24, 2017",4564.93,238.60,441600000.00
"Apr 21, 2017",4515.90,236.04,441350000.00
"Apr 20, 2017",4529.65,236.76,440700000.00
"Apr 19, 2017",4495.56,234.98,440400000.00
"Apr 18, 2017",4502.66,235.35,439750000.00
"Apr 17, 2017",4515.65,236.03,439500000.00
"Apr 13, 2017",4477.07,234.01,439400000.00
"Apr 12, 2017",4507.76,235.62,438100000.00
"Apr 11, 2017",4524.71,236.50,437750000.00
"Apr 10, 2017",4530.57,236.81,432300000.00
"Apr 07, 2017",4527.20,236.63,432250000.00
"Apr 06, 2017",4530.93,236.83,431750000.00
"Apr 05, 2017",4520.86,236.30,431750000.00
"Apr 04, 2017",4534.25,237.00,430250000.00
"Apr 03, 2017",4530.98,236.83,429250000.00
"Mar 31, 2017",4538.21,237.21,429250000.00
"Mar 30, 2017",4548.46,237.74,428750000.00
"Mar 29, 2017",4535.01,237.04,428700000.00
"Mar 28, 2017",4529.17,236.74,427750000.00
"Mar 27, 2017",4496.53,235.03,427900000.00
"Mar 24, 2017",4501.11,235.27,427750000.00
"Mar 23, 2017",4504.92,236.50,426900000.00
"Mar 22, 2017",4509.65,236.75,425850000.00
"Mar 21, 2017",4500.98,236.30,425400000.00
"Mar 20, 2017",4557.12,239.24,425450000.00
"Mar 17, 2017",4566.17,239.72,425450000.00
"Mar 16, 2017",4572.16,240.03,424650000.00
"Mar 15, 2017",4579.44,240.42,424450000.00
"Mar 14, 2017",4541.26,238.41,423150000.00
"Mar 13, 2017",4556.44,239.21,423050000.00
"Mar 10, 2017",4553.28,239.04,422500000.00
"Mar 09, 2017",4538.36,238.26,421750000.00
"Mar 08, 2017",4534.68,238.07,420050000.00
"Mar 07, 2017",4543.75,238.54,413500000.00
"Mar 06, 2017",4556.72,239.22,411900000.00
"Mar 03, 2017",4571.60,240.01,411900000.00
"Mar 02, 2017",4569.17,239.88,411750000.00
"Mar 01, 2017",4595.73,241.27,411250000.00
"Feb 28, 2017",4532.93,237.98,411150000.00
"Feb 27, 2017",4544.51,238.58,411250000.00
"Feb 24, 2017",4539.25,238.31,410700000.00
